,Name,ERA_current_year,SIERA,preds
5,Chris Sale,2.11,2.27,2.589763685232239
9,Max Fried,2.49,4.17,2.796376293090671
0,Jacob deGrom,1.7,2.78,2.935581640348839
10,Justin Verlander,2.52,2.63,2.959839780309781
18,Gerrit Cole,2.88,2.91,2.991741853190285
11,Max Scherzer,2.53,2.71,2.995861099828501
178,Tommy Milone,5.24,3.92,3.0093971350219846
26,Patrick Corbin,3.15,2.91,3.1340695551302264
2,Blake Snell,1.89,3.3,3.141861442512184
44,Luis Severino,3.39,3.26,3.197076858389015
7,Walker Buehler,2.31,3.25,3.2066552435927442
71,James Paxton,3.76,2.96,3.24178559992335
36,Shohei Ohtani,3.31,3.65,3.258777812722658
6,Trevor Bauer,2.26,3.21,3.2802255653989247
40,Touki Toussaint,3.33,4.61,3.308867626924238
8,Aaron Nola,2.37,3.4,3.321634867505384
69,Stephen Strasburg,3.74,3.33,3.3293062805776206
43,Ross Stripling,3.39,3.08,3.3623054509443078
72,German Marquez,3.77,3.31,3.3688574377908562
3,Hyun-Jin Ryu,1.97,3.18,3.369627885731065
39,Carlos Carrasco,3.33,3.04,3.379866627070947
112,Shane Bieber,4.25,3.38,3.3868791568351613
23,Noah Syndergaard,3.03,3.55,3.3919870695432466
125,Freddy Peralta,4.4,4.05,3.4147917910459906
25,Charlie Morton,3.13,3.52,3.4205808627856102
41,Jack Flaherty,3.34,3.57,3.4236803177971438
13,Framber Valdez,2.59,5.04,3.426667511255799
159,Nick Pivetta,4.8,3.5,3.44488725302778
42,Ryne Stanek,3.38,3.46,3.4474298261192557
82,Seth Lugo,3.91,3.42,3.450341633798797
22,Mike Clevinger,3.02,3.86,3.4778453303395636
34,Zack Wheeler,3.31,3.87,3.481475643621738
173,Sean Reid-Foley,5.13,4.34,3.4843780614671007
17,Mike Foltynewicz,2.85,3.77,3.51630811341513
84,Lance McCullers Jr.,3.93,3.69,3.5175234860288613
19,Corey Kluber,2.89,3.23,3.526945873259783
75,Eduardo Rodriguez,3.79,3.8,3.527632426299235
118,Chris Archer,4.31,3.73,3.532907177230525
85,Robbie Ray,3.93,3.89,3.544851203877965
162,Vince Velasquez,4.88,3.99,3.546352076818291
29,Jameson Taillon,3.2,3.77,3.5505156838408096
77,Kenta Maeda,3.85,3.66,3.5532278072925045
98,Joey Lucchesi,4.08,3.64,3.5754414639536742
73,Nathan Eovaldi,3.77,3.69,3.580205737603781
117,Luis Castillo,4.3,3.85,3.5912798441385245
30,Zack Greinke,3.21,3.6,3.5991301876992816
168,Lance Lynn,4.94,4.35,3.6020266414460007
21,Anibal Sanchez,2.9,3.79,3.602519825347326
120,Zach Eflin,4.36,4.02,3.6144752919918193
45,Carlos Martinez,3.41,4.47,3.6239051810731118
107,Caleb Smith,4.19,4.08,3.6259080365040828
66,Rich Hill,3.69,3.55,3.629342348250355
95,Tyler Skaggs,4.02,3.86,3.6330850069032055
102,Andrew Heaney,4.15,3.74,3.6357947935108648
61,J.A. Happ,3.65,3.64,3.641965327686541
14,Clayton Kershaw,2.73,3.45,3.6547962869800776
76,Jose Berrios,3.84,3.8,3.6594972713049287
1,Wilmer Font,1.71,4.44,3.6644280063167356
93,Marco Gonzales,4.0,3.81,3.664534504224183
81,Sean Newcomb,3.91,4.54,3.666670850716212
172,Jon Gray,5.12,3.68,3.6722354068046026
16,Kyle Freeland,2.85,4.35,3.6823169291180804
15,Miles Mikolas,2.83,3.93,3.6856507356337214
70,Masahiro Tanaka,3.75,3.5,3.693201814530233
97,Joe Musgrove,4.06,3.93,3.6972857716570466
47,Kyle Hendricks,3.44,4.03,3.6974872713972955
169,Yu Darvish,4.95,4.11,3.7020549900350583
140,Cody Reed,4.6,3.45,3.703805342623899
109,Tyler Glasnow,4.2,3.52,3.703934041180942
54,David Price,3.58,3.82,3.710627255622915
91,Steven Matz,3.97,4.1,3.7106344770129245
207,Robbie Erlin,6.23,4.13,3.7127063029520984
79,Trevor Cahill,3.91,4.05,3.7288450736149255
143,Luke Weaver,4.66,4.45,3.730830182808081
94,Felix Pena,4.0,4.08,3.73545909383393
167,Matt Shoemaker,4.94,3.76,3.747408761476594
116,Rick Porcello,4.28,3.77,3.7572411515856334
146,Fernando Romero,4.69,4.5,3.757549798371983
130,Jake Odorizzi,4.49,4.55,3.7624936133912303
63,Garrett Richards,3.66,3.88,3.770718773458466
150,Matt Harvey,4.71,4.07,3.771858002221727
64,Derek Holland,3.67,4.35,3.776817283899147
119,Eric Lauer,4.34,4.62,3.7789317511290292
126,Trevor Richards,4.42,4.28,3.7812389862011204
83,Kevin Gausman,3.92,4.28,3.7842658339863013
155,Zack Godley,4.77,4.19,3.784523604274186
106,Mike Minor,4.18,4.27,3.789228430424821
4,Clay Buchholz,2.01,4.08,3.800256931252789
179,Sonny Gray,5.26,4.37,3.8009574225284575
127,Adam Wainwright,4.46,4.34,3.8105311699628723
216,Ben Lively,6.85,4.78,3.8116846375694515
152,Yonny Chirinos,4.73,4.17,3.8128030680348655
114,Austin Gomber,4.26,4.42,3.8185327785349865
137,Chad Kuhl,4.55,4.38,3.82235250112241
62,Alex Wood,3.65,3.92,3.829903552988659
206,Domingo German,6.19,3.84,3.8413081631499355
193,Erick Fedde,5.54,4.27,3.8532052535776975
74,Cole Hamels,3.78,3.99,3.8564688996460137
139,Brent Suter,4.56,4.18,3.856869028134152
136,Tyler Anderson,4.55,4.22,3.857669045448635
96,Jose Quintana,4.03,4.39,3.8599074238783198
87,Julio Teheran,3.94,4.67,3.8651481291163106
222,Luis Perdomo,7.38,4.86,3.8665953579426127
56,John Gant,3.61,4.9,3.8702921854279673
148,Chris Stratton,4.7,4.66,3.874405303208605
187,Dylan Bundy,5.45,3.94,3.880256019437333
57,Kyle Gibson,3.62,4.25,3.8821871439191824
52,Mike Soroka,3.51,4.17,3.884515711534783
192,Marcus Stroman,5.54,4.04,3.8849301297438728
124,Matthew Boyd,4.39,4.31,3.8898827532995477
129,Andrew Suarez,4.49,4.07,3.8991865829577748
115,Junior Guerra,4.27,4.4,3.8996360709209514
68,Dallas Keuchel,3.74,4.15,3.9032773923601325
20,Dereck Rodriguez,2.89,4.62,3.906567389959827
149,Ryan Yarbrough,4.71,4.51,3.910308555899941
80,Reynaldo Lopez,3.91,4.92,3.910353357194126
170,Tyler Mahle,4.98,4.57,3.9147730200503132
60,CC Sabathia,3.65,4.24,3.915407756688045
65,Mike Montgomery,3.69,4.45,3.919625423720446
92,Jose Urena,3.98,4.39,3.9226362297002733
111,Tanner Roark,4.25,4.38,3.9238845188830833
88,Antonio Senzatela,3.95,4.62,3.9257408897970274
90,Jake Arrieta,3.96,4.29,3.9297100611772193
50,Jeremy Hellickson,3.45,4.33,3.930224223783268
110,Gio Gonzalez,4.21,4.73,3.931002265565097
163,Aaron Sanchez,4.89,5.1,3.931888100931139
24,Trevor Williams,3.11,4.68,3.936400142738384
122,Jakob Junis,4.37,3.98,3.9408102221566317
28,Michael Wacha,3.2,4.6,3.946228962203882
217,Yefry Ramirez,6.92,5.06,3.946831621173591
46,Jaime Barria,3.41,4.84,3.948288575824678
49,Sandy Alcantara,3.44,5.42,3.94869428479011
166,Anthony DeSclafani,4.93,3.96,3.95515978944476
27,Chris Bassitt,3.19,4.9,3.9576095066362424
101,Pablo Lopez,4.14,4.29,3.96129350730919
134,Jordan Zimmermann,4.52,4.2,3.9641721893663844
189,Dylan Covey,5.5,4.62,3.9663472181034334
147,Michael Fulmer,4.69,4.45,3.969354195483783
58,Jordan Montgomery,3.62,4.73,3.9699111788553934
32,Madison Bumgarner,3.26,4.42,3.970080891655276
33,Brad Keller,3.28,4.61,3.9732335843015845
78,Ryan Borucki,3.87,4.8,3.974983064080678
59,Wade LeBlanc,3.64,4.37,3.9831385926109806
142,Francisco Liriano,4.65,5.04,4.003285236845327
144,Ian Kennedy,4.66,4.55,4.010223631062864
51,Jhoulys Chacin,3.5,4.59,4.010423130241671
31,Johnny Cueto,3.23,4.47,4.017120498193687
37,Jon Lester,3.32,4.57,4.01820620114437
128,Brett Anderson,4.48,4.13,4.019026347450412
175,Tyler Chatwood,5.16,6.23,4.01922204689908
158,Wei-Yin Chen,4.79,4.63,4.022084649946786
12,Wade Miley,2.57,4.66,4.024880837237534
123,Tyson Ross,4.38,4.52,4.027342571053925
161,Danny Duffy,4.88,4.75,4.029473673127257
100,Steven Wright,4.13,4.83,4.029710639072379
86,Chase Anderson,3.93,4.68,4.03143646522577
190,Daniel Norris,5.5,4.21,4.035640250559744
174,Ty Blach,5.15,4.9,4.042478539679119
156,Zach Davies,4.77,4.52,4.045798728036406
177,Andrew Triggs,5.23,4.21,4.04623481953901
185,Clayton Richard,5.33,4.51,4.051420807778585
55,Sean Manaea,3.59,4.46,4.0549446422600495
200,Jason Vargas,5.77,4.32,4.055357595324095
165,Brandon McCarthy,4.92,4.11,4.055994252984051
67,Austin Bibens-Dirkx,3.71,4.56,4.059819125128965
35,Mike Fiers,3.31,4.26,4.06015898105907
89,Frankie Montas,3.96,4.86,4.063219125925987
157,Jordan Lyles,4.79,4.02,4.094763343272761
191,Steven Brault,5.54,5.88,4.102351037847254
108,Ivan Nova,4.19,4.42,4.112110501115223
214,Jefry Rodriguez,6.75,5.85,4.121410053676014
195,Marco Estrada,5.64,5.45,4.130104366797154
138,Heath Fillmyer,4.56,4.85,4.1324332994479
113,Blaine Hardy,4.26,4.59,4.133167736046693
186,Sam Gaviglio,5.43,4.31,4.140040119842479
154,Jimmy Yacabonis,4.76,4.91,4.144031486616083
164,Alex Cobb,4.9,4.62,4.146210997314694
105,Carlos Rodon,4.18,5.13,4.150206337986567
38,Edwin Jackson,3.33,4.98,4.165342386047936
99,Dan Straily,4.12,4.92,4.1677209506192945
135,Thomas Pannone,4.54,5.82,4.168889090305896
184,Nick Kingham,5.32,4.38,4.176153171788897
204,Lucas Giolito,6.13,5.37,4.176297504889842
121,Mike Leake,4.36,4.36,4.186480431816728
226,Matt Moore,8.02,5.35,4.190474965640759
48,Jarlin Garcia,3.44,5.15,4.194723852016071
183,Eric Skoglund,5.29,4.67,4.195159213477395
104,Hector Velazquez,4.15,4.85,4.202243161370877
194,Jake Faria,5.57,5.2,4.2052999300175085
180,Chad Bettis,5.28,4.96,4.206160277322915
219,Paul Blackburn,7.16,4.43,4.216031075458425
153,Nick Tropeano,4.74,4.69,4.223837483072414
188,Sal Romano,5.48,4.88,4.2345488718051305
141,Bryan Mitchell,4.61,5.86,4.235827467858395
208,Jeff Samardzija,6.25,5.96,4.241215997353554
182,Adam Plutko,5.29,5.03,4.242693938638956
151,Corey Oswalt,4.72,4.78,4.247572727622406
53,Adrian Sampson,3.57,4.79,4.259311409772929
171,Elieser Hernandez,5.04,4.85,4.280545505928827
225,Kendall Graveman,7.6,4.47,4.283368565724359
160,David Hess,4.84,5.14,4.287494740595422
133,Daniel Mengden,4.5,4.74,4.290002253746232
103,Brian Johnson,4.15,4.65,4.291187282712879
210,Jorge Lopez,6.35,4.78,4.292960398913707
131,James Shields,4.5,4.91,4.301107851546301
199,Yovani Gallardo,5.77,5.46,4.3209161974281285
218,Jacob Nix,7.02,5.49,4.324439513781692
181,Andrew Cashner,5.29,5.33,4.330566699448353
205,Jason Hammel,6.16,5.1,4.330581915348915
213,Brett Kennedy,6.75,5.36,4.332004839594857
196,Felix Hernandez,5.64,4.61,4.3339711288952545
202,Homer Bailey,6.09,4.82,4.342330082616296
230,Burch Smith,9.67,4.62,4.356531701811997
215,Martin Perez,6.78,5.19,4.362949291314473
209,Drew Pomeranz,6.31,5.4,4.383598531406518
132,Doug Fister,4.5,4.68,4.387604134279636
223,Brandon Finnegan,7.4,6.18,4.3972464168992484
212,Jaime Garcia,6.57,4.97,4.43163185212886
211,Erasmo Ramirez,6.5,4.7,4.442522290507979
201,Dillon Peters,5.84,5.53,4.448048546560026
224,Ryan Carpenter,7.48,4.69,4.469222240139692
228,Carson Fulmer,8.13,6.01,4.485048376260271
221,Yohander Mendez,7.29,5.98,4.4958351786220305
203,Hector Santiago,6.12,6.08,4.516809110140794
145,Matt Koch,4.68,5.24,4.561258732540974
176,Daniel Gossett,5.18,5.49,4.566117209770867
197,Bartolo Colon,5.68,4.92,4.597340116793217
198,Ariel Jurado,5.71,5.15,4.597933998635326
220,Josh Tomlin,7.17,5.14,4.6871195136576524
229,Drew Hutchison,8.86,6.29,4.760791054700632
227,Ervin Santana,8.03,5.95,4.863669742740293
231,Chris Tillman,10.46,6.34,4.8931643294380285
